from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_exact_match
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4990,10,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4990-512-{10}seg_mem10_bs128_regular_5-10seg_eval/run_2,False,,False,,,99.95206451416016
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4990,10,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4990-512-{10}seg_mem10_bs128_regular_5-10seg_eval/run_1,False,,False,,,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4990,10,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4990-512-{10}seg_mem10_bs128_regular_5-10seg_eval/run_1,False,,False,,,99.90412139892578
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4491,9,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4491-512-{9}seg_mem10_bs128_regular_8-9seg_eval/run_2,False,,False,,,99.95206451416016
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4491,9,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4491-512-{9}seg_mem10_bs128_regular_8-9seg_eval/run_1,False,,False,,,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4491,9,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4491-512-{9}seg_mem10_bs128_regular_8-9seg_eval/run_1,False,,False,,,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,2,linear,2994,6,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2994-512-{6}seg_mem10_bs128_regular_2-6seg_eval/run_2,False,,False,,,76.17449951171875
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,2,linear,2994,6,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2994-512-{6}seg_mem10_bs128_regular_2-6seg_eval/run_1,False,,False,,,77.32502746582031
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,2,linear,2994,6,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2994-512-{6}seg_mem10_bs128_regular_2-6seg_eval/run_1,False,,False,,,80.05752563476562
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4990,10,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4990-512-{10}seg_mem10_bs128_regular_6-10seg_eval/run_2,False,,False,,,99.85618591308594
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4990,10,512,10,regular,../runs/curriculum_task/babilong_random_v2/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4990-512-{10}seg_mem10_bs128_regular_6-10seg_eval/run_1,False,,False,,,99.85618591308594
