task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_loss,backbone_cpt,k1,k2,freeze_model_weights,use_truncated_backward
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,128,1,linear,124,1,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs128_regular_bptt-6_from_cpt_6-1_eval/run_4,False,,False,,,2.4110915660858154,,-1,6,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,6e-05,8,4,linear,124,1,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_4,False,,False,,250000.0,2.2004339694976807,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,6e-05,16,2,linear,124,1,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_5,False,,False,,250000.0,2.2103662490844727,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,6e-05,16,2,linear,124,1,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_5,False,,False,,0.0,3.5100033283233643,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,6e-05,8,4,linear,124,1,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_4,False,,False,,250000.0,2.2004339694976807,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,1,linear,124,5,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-5x128_mem2_bs128_regular_bptt-5_from_cpt_5-5_noise-2_eval_+noise-8/run_4,False,,False,,,1.9564152956008911,,-1,5,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,1,linear,124,5,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-5x128_mem2_bs128_regular_bptt-5_from_cpt_5-5_noise-2_eval_noise-4/run_4,False,,False,,,2.2751410007476807,,-1,5,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,1,linear,124,5,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-5x128_mem2_bs128_regular_bptt-5_from_cpt_5-5_noise-2_eval_noise-4/run_4,False,,False,,,2.2467100620269775,,-1,5,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,4,1,linear,1240,10,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1240-128-10x128_mem2_bs128_regular_bptt-1_from_cpt_1-10_eval/run_4,False,,False,,,2.267212152481079,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,4,1,linear,1240,10,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1240-128-10x128_mem2_bs128_regular_bptt-2_from_cpt_2-10_eval/run_4,False,,False,,,2.1287922859191895,,-1,2,False,False
